Sort,Dates,"Average Number of Operators, Mon-Fri, (7:00AM-3:00PM) ","Average Number of Operators, Mon-Fri, (3:00PM-11:00PM) ","Average Number of Operators, Mon-Fri, (11:00PM-7:00AM) ","Average Number of Operators, Sat-Sun, (7:00AM-3:00PM) ","Average Number of Operators, Sat-Sun, (3:00PM-11:00PM) ","Average Number of Operators, Sat-Sun, (11:00PM-7:00AM) ",Call Volume (7:00AM-3:00PM) ,Call Volume (3:00PM-11:00PM) ,Call Volume (11:00PM-7:00AM) ,Efficiency (7:00AM-3:00PM) ,Efficiency (3:00PM-11:00PM) ,Efficiency (11:00PM-7:00AM) ,Utilization (7:00AM-3:00PM) ,Utilization (3:00PM-11:00PM) ,Utilization (11:00PM-7:00AM) ,Abandoned (7:00AM-3:00PM) ,Abandoned (3:00PM-11:00PM) ,Abandoned (11:00PM-7:00AM) ,Average Wait Time (seconds): 7:00AM-3:00PM,Average Wait Time (seconds): 3:00PM-11:00PM,Average Wait Time (seconds): 11:00PM-7:00AM
25,9/26/11 - 10/2/11,22,10,2,13,9,1,26256,19010,3703,84%,88%,91%,78%,75%,48%,15%,13%,10%,75,42,8
26,10/03/11 - 10/9/11,22,9,2,13,8,2,26123,18389,4236,68%,77%,92%,80%,76%,48%,24%,22%,9%,128,95,14
27,10/10/11-10/16/11,23,22,2,13,7,2,26866,17864,4440,76%,77%,92%,77%,75%,46%,18%,20%,10%,92,83,14
28,10/17/11-10/23/11,23,10,2,14,10,2,26517,19197,4580,85%,85%,94%,74%,72%,45%,14%,15%,7%,73,60,10
29,10/24/11 - 10/30/11,22,13,2,13,7,2,26452,18983,4152,87%,90%,95%,72%,67%,42%,12%,11%,6%,58,32,5
30,10/31/11 - 11/06/11,23,10,2,14,7,2,25773,17119,3730,92%,87%,92%,76%,71%,43%,10%,12%,9%,30,30,7
31,11/07/11 - 11/13/11,22,10,2,15,8,1,25295,17344,3537,86%,91%,93%,77%,66%,41%,12%,9%,9%,35,14,9
32,11/14/11-11/20/11,23,8,2,11,9,1,25470,17638,3433,89%,91%,92%,77%,69%,41%,11%,10%,8%,27,16,9
33,11/21/11 - 11/27/11,20,8,1,12,11,1,21339,14616,3588,92%,92%,93%,65%,58%,42%,7%,9%,8%,15,12,7
34,11/28/11 - 12/4/11,21,9,2,14,6,1,25333,16413,3845,77%,84%,93%,75%,74%,45%,18%,16%,9%,58,32,7
35,12/5/11 - 12/11/11,23,8,2,15,8,1,24063,15493,3609,90%,90%,93%,74%,71%,45%,10%,13%,8%,23,19,6
36,12/12/11-12/18/11,21,8,2,13,7,1,22894,16044,3578,90%,86%,93%,74%,68%,40%,11%,14%,9%,22,24,7
37,12/19/11-12/25/11,23,9,1,12,7,1,22167,14308,3527,94%,90%,92%,68%,63%,46%,7%,11%,9%,11,14,9
38,12/26/11-12/31/11,20,10,2,14,8,1,19809,13725,3056,92%,90%,92%,67%,58%,39%,9%,10%,10%,18,15,7
